2023-01-15 05:11:52 status installed lsb-base:all 11.1.0
2023-01-15 05:11:52 configure libtirpc-common:all 1.3.1-1+deb11u1 <none>
2023-01-15 05:11:52 status unpacked libtirpc-common:all 1.3.1-1+deb11u1
2023-01-15 05:11:52 status half-configured libtirpc-common:all 1.3.1-1+deb11u1
2023-01-15 05:11:52 status installed libtirpc-common:all 1.3.1-1+deb11u1
2023-01-15 05:11:52 configure debian-archive-keyring:all 2021.1.1 <none>
2023-01-15 05:11:52 status unpacked debian-archive-keyring:all 2021.1.1
2023-01-15 05:11:52 status half-configured debian-archive-keyring:all 2021.1.1
2023-01-15 05:11:53 status installed debian-archive-keyring:all 2021.1.1
2023-01-15 05:11:53 configure libaudit-common:all 1:3.0-2 <none>
2023-01-15 05:11:53 status unpacked libaudit-common:all 1:3.0-2
2023-01-15 05:11:53 status half-configured libaudit-common:all 1:3.0-2
2023-01-15 05:11:53 status installed libaudit-common:all 1:3.0-2
2023-01-15 05:11:53 configure libsemanage-common:all 3.1-1 <none>
2023-01-15 05:11:53 status unpacked libsemanage-common:all 3.1-1
2023-01-15 05:11:53 status half-configured libsemanage-common:all 3.1-1
2023-01-15 05:11:53 status installed libsemanage-common:all 3.1-1
